name,generics,brand_names,company_url
FnF Pharmaceuticals Ltd.,7,7,https://medex.com.bd/companies/266/fnf-pharmaceuticals-ltd/brands
Gaco Pharmaceuticals Ltd.,67,91,https://medex.com.bd/companies/137/gaco-pharmaceuticals-ltd/brands
General Pharmaceuticals Ltd.,284,477,https://medex.com.bd/companies/29/general-pharmaceuticals-ltd/brands
Genvio Pharma Ltd.,25,40,https://medex.com.bd/companies/30/genvio-pharma-ltd/brands
Get Well Limited,7,16,https://medex.com.bd/companies/267/get-well-limited/brands
Globe Pharmaceuticals Ltd.,176,292,https://medex.com.bd/companies/31/globe-pharmaceuticals-ltd/brands
Globex Pharmaceuticals Ltd.,31,46,https://medex.com.bd/companies/120/globex-pharmaceuticals-ltd/brands
Gonoshasthaya Pharma Ltd.,103,159,https://medex.com.bd/companies/32/gonoshasthaya-pharma-ltd/brands
Goodman Pharmaceuticals Ltd.,46,79,https://medex.com.bd/companies/268/goodman-pharmaceuticals-ltd/brands
Greenland Pharmaceuticals Ltd.,13,13,https://medex.com.bd/companies/212/greenland-pharmaceuticals-ltd/brands
GSK Bangladesh Limited,3,4,https://medex.com.bd/companies/351/gsk-bangladesh-limited/brands
Guardian Healthcare Ltd.,24,30,https://medex.com.bd/companies/261/guardian-healthcare-ltd/brands
Hallmark Pharmaceuticals Ltd.,43,63,https://medex.com.bd/companies/100/hallmark-pharmaceuticals-ltd/brands
Healthcare Pharmaceuticals Ltd.,340,620,https://medex.com.bd/companies/85/healthcare-pharmaceuticals-ltd/brands
Hudson Pharmaceuticals Ltd.,65,95,https://medex.com.bd/companies/33/hudson-pharmaceuticals-ltd/brands
Ibn Sina Pharmaceuticals Ltd.,386,590,https://medex.com.bd/companies/35/ibn-sina-pharmaceuticals-ltd/brands
Incepta Pharmaceuticals Ltd.,769,1357,https://medex.com.bd/companies/106/incepta-pharmaceuticals-ltd/brands
Indo Bangla Pharmaceutical,29,39,https://medex.com.bd/companies/99/indo-bangla-pharmaceutical/brands
Institute of Public Health (IPH),6,8,https://medex.com.bd/companies/217/institute-of-public-health-iph/brands
International Agencies (Bd.) Limited,6,8,https://medex.com.bd/companies/290/international-agencies-bd-limited/brands
Janata Traders,27,38,https://medex.com.bd/companies/176/janata-traders/brands
Jayson Natural Products Ltd.,26,30,https://medex.com.bd/companies/429/jayson-natural-products-ltd/brands
Jayson Pharmaceuticals Ltd.,123,200,https://medex.com.bd/companies/37/jayson-pharmaceuticals-ltd/brands
Jenphar Bangladesh Ltd.,88,142,https://medex.com.bd/companies/39/jenphar-bangladesh-ltd/brands
JMI Syringes & Medical Devices Ltd.,0,0,https://medex.com.bd/companies/442/jmi-syringes-medical-devices-ltd/brands
Kawsar Chemicals,0,0,https://medex.com.bd/companies/205/kawsar-chemicals/brands
Kemiko Pharmaceuticals Ltd.,133,207,https://medex.com.bd/companies/116/kemiko-pharmaceuticals-ltd/brands
Kumudini Pharma Ltd.,86,134,https://medex.com.bd/companies/136/kumudini-pharma-ltd/brands
Labaid Pharma Ltd.,60,116,https://medex.com.bd/companies/40/labaid-pharma-ltd/brands
Legends Pharma,12,14,https://medex.com.bd/companies/275/legends-pharma/brands
Leon Pharmaceuticals Ltd.,62,99,https://medex.com.bd/companies/129/leon-pharmaceuticals-ltd/brands
Lexicon Pharma,0,0,https://medex.com.bd/companies/389/lexicon-pharma/brands
Libra Infusions Ltd.,9,16,https://medex.com.bd/companies/41/libra-infusions-ltd/brands
Libra Pharmaceuticls Ltd.,3,5,https://medex.com.bd/companies/269/libra-pharmaceuticls-ltd/brands
Maks Drug Limited,20,36,https://medex.com.bd/companies/412/maks-drug-limited/brands
Marie Stopes Bangladesh,0,0,https://medex.com.bd/companies/279/marie-stopes-bangladesh/brands
Marker Pharma Ltd.,29,37,https://medex.com.bd/companies/131/marker-pharma-ltd/brands
Marksman Pharmaceuticals Ltd.,19,25,https://medex.com.bd/companies/109/marksman-pharmaceuticals-ltd/brands
Medicon Pharmaceuticals Ltd.,82,113,https://medex.com.bd/companies/42/medicon-pharmaceuticals-ltd/brands
Medimet Pharmaceuticals Ltd.,72,130,https://medex.com.bd/companies/43/medimet-pharmaceuticals-ltd/brands
MedRx Life Science Ltd.,14,20,https://medex.com.bd/companies/263/medrx-life-science-ltd/brands
MGH Healthcare Limited,3,4,https://medex.com.bd/companies/419/mgh-healthcare-limited/brands
MicroMed,0,0,https://medex.com.bd/companies/409/micromed/brands
Millat Pharmaceuticals Ltd.,46,72,https://medex.com.bd/companies/44/millat-pharmaceuticals-ltd/brands
Modern Pharmaceuticals Ltd.,43,63,https://medex.com.bd/companies/45/modern-pharmaceuticals-ltd/brands
Momotaz Pharmaceuticals Ltd.,4,4,https://medex.com.bd/companies/206/momotaz-pharmaceuticals-ltd/brands
Monicopharma Ltd.,70,101,https://medex.com.bd/companies/123/monicopharma-ltd/brands
MST Pharma,29,35,https://medex.com.bd/companies/170/mst-pharma/brands
Mundipharma (BD) Pvt. Ltd.,18,33,https://medex.com.bd/companies/143/mundipharma-bd-pvt-ltd/brands
Mystic Pharmaceuticals Ltd.,28,38,https://medex.com.bd/companies/46/mystic-pharmaceuticals-ltd/brands
Naafco Pharma Ltd.,40,59,https://medex.com.bd/companies/251/naafco-pharma-ltd/brands
National Drug Co. Ltd.,13,13,https://medex.com.bd/companies/479/national-drug-co-ltd/brands
Navana Pharmaceuticals Ltd.,197,332,https://medex.com.bd/companies/47/navana-pharmaceuticals-ltd/brands
NEMUS Pharmaceutical Pvt. Ltd.,0,0,https://medex.com.bd/companies/327/nemus-pharmaceutical-pvt-ltd/brands
Nipa Pharmaceuticals Ltd.,74,96,https://medex.com.bd/companies/53/nipa-pharmaceuticals-ltd/brands
NIPRO JMI Pharma Ltd.,115,210,https://medex.com.bd/companies/48/nipro-jmi-pharma-ltd/brands
Novartis (Bangladesh) Ltd.,37,74,https://medex.com.bd/companies/51/novartis-bangladesh-ltd/brands
Novatek Pharmaceuticals Ltd.,74,118,https://medex.com.bd/companies/124/novatek-pharmaceuticals-ltd/brands
Novelta Bestway Pharma Ltd.,30,44,https://medex.com.bd/companies/49/novelta-bestway-pharma-ltd/brands
Novo Healthcare and Pharma Ltd.,65,101,https://medex.com.bd/companies/133/novo-healthcare-and-pharma-ltd/brands
Novo Nordisk Pharma (Pvt.) Ltd,13,20,https://medex.com.bd/companies/186/novo-nordisk-pharma-pvt-ltd/brands
Novus Pharmaceuticals Ltd.,21,26,https://medex.com.bd/companies/50/novus-pharmaceuticals-ltd/brands
Nutrilife Pharma,0,0,https://medex.com.bd/companies/422/nutrilife-pharma/brands
Nuvista Pharma Ltd.,95,141,https://medex.com.bd/companies/122/nuvista-pharma-ltd/brands
One Pharma Ltd.,64,107,https://medex.com.bd/companies/207/one-pharma-ltd/brands
Opsonin Herbal & Nutraceuticals Ltd.,13,15,https://medex.com.bd/companies/384/opsonin-herbal-nutraceuticals-ltd/brands
Opsonin Pharma Ltd.,503,1011,https://medex.com.bd/companies/56/opsonin-pharma-ltd/brands
Orbit Pharmaceuticals Ltd.,30,39,https://medex.com.bd/companies/260/orbit-pharmaceuticals-ltd/brands
Orion Infusion Ltd.,17,26,https://medex.com.bd/companies/173/orion-infusion-ltd/brands
Orion Pharma Ltd.,147,261,https://medex.com.bd/companies/58/orion-pharma-ltd/brands
OSL Pharma Limited,132,205,https://medex.com.bd/companies/55/osl-pharma-limited/brands
Oyster Pharmaceuticals Ltd.,9,10,https://medex.com.bd/companies/118/oyster-pharmaceuticals-ltd/brands
Pacific Pharmaceuticals Ltd.,165,277,https://medex.com.bd/companies/145/pacific-pharmaceuticals-ltd/brands
Peoples Pharma Ltd.,24,31,https://medex.com.bd/companies/59/peoples-pharma-ltd/brands
Pfizer,0,0,https://medex.com.bd/companies/175/pfizer/brands
Pharmacil Limited,7,14,https://medex.com.bd/companies/195/pharmacil-limited/brands
Pharmadesh Laboratories Ltd.,93,140,https://medex.com.bd/companies/60/pharmadesh-laboratories-ltd/brands
Pharmasia Limited,112,200,https://medex.com.bd/companies/112/pharmasia-limited/brands
Pharmik Laboratories Ltd.,14,16,https://medex.com.bd/companies/202/pharmik-laboratories-ltd/brands
Popular Pharmaceuticals Ltd.,312,503,https://medex.com.bd/companies/87/popular-pharmaceuticals-ltd/brands
Premier Pharmaceuticals Ltd.,33,40,https://medex.com.bd/companies/201/premier-pharmaceuticals-ltd/brands
Prime Pharmaceuticals Ltd.,14,15,https://medex.com.bd/companies/88/prime-pharmaceuticals-ltd/brands
Pristine Pharmaceuticals Ltd,34,41,https://medex.com.bd/companies/391/pristine-pharmaceuticals-ltd/brands
Purnava Limited,19,28,https://medex.com.bd/companies/280/purnava-limited/brands
Quality Pharmaceuticals Ltd.,6,6,https://medex.com.bd/companies/253/quality-pharmaceuticals-ltd/brands
Radiant Export Import Enterprise,0,0,https://medex.com.bd/companies/465/radiant-export-import-enterprise/brands
Radiant Nutraceuticals Ltd.,26,34,https://medex.com.bd/companies/331/radiant-nutraceuticals-ltd/brands
Radiant Pharmaceuticals Ltd.,127,216,https://medex.com.bd/companies/62/radiant-pharmaceuticals-ltd/brands
